Rank,PackageId,Version,TotalDownloads,DetectedFrameworks,Description
20,wix,6.0.2,12912199,Unknown/Custom,The WiX Toolset lets developers create installers for Windows. This package contains the WiX Toolset command-line interface.
21,JetBrains.ReSharper.GlobalTools,2025.3.4,12373082,CommandLineParser,Standalone command line tools that enable running ReSharper inspections outside of Visual Studio
22,PowerShell,7.6.0,12042799,Unknown/Custom,PowerShell global tool
23,Refitter,1.7.3,11253402,Spectre.Console.Cli,Refitter is a CLI tool for generating a C# REST API Client using the Refit library from OpenAPI specifications.
24,nbgv,3.9.50,10901585,System.CommandLine,"A .NET Core Tool that can install, read and set version information based on git history, using Nerdbank.GitVersioning."
25,dotnet-format,5.1.250801,10570960,System.CommandLine,Command line tool for formatting C# and Visual Basic code files based on .editorconfig settings.
26,AzureSignTool,7.0.1,10154137,Unknown/Custom,"Azure Sign Tool is similar to signtool in the Windows SDK, with the major difference being that it uses Azure Key Vault for performing the signing process. The usage is like signtool, except with a limited set of options for signing and options for authenticating to Azure Key Vault."
27,dotnet-sos,9.0.661903,7455798,System.CommandLine,Diagnostic SOS installer
28,Husky,0.9.1,7235681,CliFx,Git hooks made easy with Husky.Net internal task runner! 🐶 It brings the dev-dependency concept to the .NET world!
29,CycloneDX,6.1.0,7220289,System.CommandLine,A .NET Core global tool to generate CycloneDX bill-of-material documents for use with Software Composition Analysis (SCA).
30,Microsoft.dotnet-openapi,10.0.5,7027193,Unknown/Custom,"Command line tool to add an OpenAPI service reference

This package was built from the source code at https://github.com/dotnet/dotnet/tree/a612c2a1056fe3265387ae3ff7c94eba1505caf9"
31,dd-trace,3.40.0,6839334,System.CommandLine,Auto-instrumentation dotnet global tool for Datadog APM
32,NSwag.ConsoleCore,14.6.3,6741101,Unknown/Custom,NSwag: The OpenAPI/Swagger API toolchain for .NET and TypeScript
33,dotnet-script,2.0.0,6514790,McMaster.Extensions.CommandLineUtils,Dotnet CLI tool allowing you to run C# (CSX) scripts.
34,Octopus.DotNet.Cli,9.1.7,6281046,Unknown/Custom,"Octopus Deploy is an automated release management tool for modern developers and DevOps teams.

      This package contains the dotnet tool version of the CLI library for interacting with the HTTP API in Octopus."
35,dotnet-outdated-tool,4.7.1,5653350,McMaster.Extensions.CommandLineUtils,A .NET Core global tool to update project dependencies.
36,dotnet-stryker,4.14.0,5649506,McMaster.Extensions.CommandLineUtils,The Stryker.NET CLI tool. Install this tool to run stryker from the commandline.
37,SpecFlow.Plus.LivingDoc.CLI,3.9.57,4531871,System.CommandLine,Don't add this package to your project. Install from commandline (dotnet tool install --global SpecFlow.Plus.LivingDoc.CLI) and use with SpecFlow.Plus.LivingDoc.Plugin. A dotnet tool for SpecFlow to generate a shareable HTML Gherkin feature execution report (living documentation).
38,docfx,2.78.5,4506077,System.CommandLine; Spectre.Console.Cli,The docfx command line tool published as .NET tool
39,Microsoft.SqlPackage,170.3.93,4181920,Unknown/Custom,SqlPackage is a command-line utility that automates database development tasks by exposing some of the public Data-Tier Application Framework (DacFx) APIs.
40,minver-cli,7.0.0,3795207,System.CommandLine,A minimalist command line tool for versioning any Git repository using tags.
41,Amazon.Lambda.TestTool-6.0,0.16.3,3475136,Unknown/Custom,A tool to help debug and test your .NET 6.0 AWS Lambda functions locally.
42,Rapicgen,1.39.0,3394864,Spectre.Console.Cli,A collection of code generators for Swagger / OpenAPI specification files
43,AWS.CodeArtifact.NuGet.CredentialProvider,1.0.2,3365644,System.CommandLine,A tool to configure NuGet credential provider for AWS CodeArtifact sources.
44,Microsoft.OpenApi.Kiota,1.30.0,3363134,System.CommandLine,OpenAPI based client generator.
45,FunFair.BuildVersion,6.2.18.1825,3197862,Unknown/Custom,Build versioning tool.
46,dotnet-svcutil,8.0.0,2991787,Unknown/Custom,dotnet-svcutil
47,dotnet-stack,9.0.661903,2942987,System.CommandLine,.NET Stack Printing Tool
48,dotnet-subset,0.3.2,2772243,System.CommandLine,"dotnet-subset is a .NET tool that copies a subset of files from a repository to a directory.

The tool is mainly used in Dockerfiles to optimize the docker build caching for ""dotnet restore"" instructions."
49,OctoNotes.GitHubUpdater.Tool,0.0.2323,2741889,Unknown/Custom,"OctoNotes is a tool for generating release notes from Git repositories.
      Using the information generated by OctoNotes, we can calculate which release a fix landed in, across multiple release branches.
      We then use this to add a table to the related GitHub issue."
50,Nuke.GlobalTool,10.1.0,2725862,System.CommandLine,"The AKEless Build System for C#/.NET
Signed by signpath.io from repository 'https://github.com/nuke-build/nuke' commit '8aaec258a7e00e5d98e013be025db1a42bc58d79' (see contained AppVeyorSettings.json file for build settings)."
51,dotnet-symbol,9.0.661903,2703965,Unknown/Custom,Symbols download utility
52,fantomas,7.0.5,2686952,Argu,"This library aims at formatting F# source files based on a given configuration.
Fantomas will ensure correct indentation and consistent spacing between elements in the source files.
Some common use cases include:
(1) Reformatting a code base to conform a universal page width
(2) Converting legacy code from verbose syntax to light syntax
(3) Formatting auto-generated F# signatures."
53,dotnet-project-licenses,2.7.1,2599805,CommandLineParser,Package Description
54,Microsoft.Playwright.CLI,1.2.3,2571892,Unknown/Custom,"Playwright enables reliable end-to-end testing for modern web apps. It is built to enable cross-browser web automation that is ever-green, capable, reliable and fast. Learn more at https://playwright.dev/dotnet/."
55,p,3.0.4,2533786,Unknown/Custom,The P Programming Language Compiler
56,snapx,10.0.0,2510514,CommandLineParser,"snapx is a powerful xplat .NET application with built-in support for delta updates, release channels (test, staging, production) and automatic deployment using GitHub Actions."
57,dotnet-affected,6.2.0,2498677,System.CommandLine,Package Description
58,dotnet-t4,3.0.0,2469870,Unknown/Custom,"Command-line tool for processing T4 templates, a general-purpose way to generate text or code files using C#"
59,fake-cli,6.1.4,2369283,Unknown/Custom,FAKE - F# Make - is a build automation tool for .NET. Tasks and dependencies are specified in a DSL which is integrated in F#.
60,Amazon.Lambda.TestTool-3.1,0.14.1,2291628,Unknown/Custom,A tool to help debug and test your .NET Core 3.1 AWS Lambda functions locally.
61,Microsoft.CST.DevSkim.CLI,1.0.70,2291604,CommandLineParser; Microsoft.Extensions.CommandLineUtils,"DevSkim is a framework and language analyzer that provides inline security analysis. This is a Dotnet Tool package. For the library package, see Microsoft.CST.DevSkim."
62,StrawberryShake.Tools,15.1.12,2207042,McMaster.Extensions.CommandLineUtils,Package Description
63,Excubo.WebCompiler,4.3.0,2141845,Unknown/Custom,Excubo.WebCompiler is a dotnet global tool that compiles Scss files (other languages on the road map).
64,AWS.Deploy.Tools,2.0.6,2042864,Spectre.Console.Cli,Opinionated tooling that simplifies deployment of .NET applications with minimum AWS knowledge.
65,Pickles.CommandLine,4.0.3,1969774,Mono.Options / NDesk.Options,"**Pickles** is an open source **living documentation** generator that works on feature files written in the *Gherkin* language, popularized in tools like *Cucumber* and *SpecFlow*.

        *Pickles* can be incorporated into your build process to produce living documentation in a format that is more accessible to your clients. *Gherkin* language files are written in plain text and stored in your source folder. This can make them inaccessible to clients who may not know how to work with source control or who are not interested in seeing all of the source code, just the features.

        *Pickles* can produce output in different formats:

        - Static HTML: a set of HTML files with minimal JavaScript
        - Dynamic HTML: a JavaScript-rich single page app with integrated search
        - Word: Microsoft Word
        - Excel: Microsoft Excel
        - JSON: a custom JSON format
        - Markdown: a simple output format

        Optionally, *Pickles* can **integrate test results**, so that your stakeholders know which scenarios pass validation. *Pickles* supports these test formats:

        - NUnit
        - MSTest
        - XUnit
        - SpecRun
        - Cucumber JSON"
66,Credfeto.ChangeLog.Cmd,1.10.191.1416,1966527,CommandLineParser,Changelog manager dotnet tool.
67,Microsoft.OpenApi.Hidi,3.5.0,1914043,System.CommandLine,OpenAPI.NET CLI tool for slicing OpenAPI documents
68,dotnet-certificate-tool,2.1.0,1907716,CommandLineParser,CLI tool that installs a certificate to the specified store (defaults to My).
69,NuGet.Mcp.Server,1.2.3,1879261,Unknown/Custom,A Model Context Protocol (MCP) server for NuGet.
70,SpecSync.AzureDevOps,5.3.0,1869857,System.CommandLine,SpecSync for Azure DevOps is a synchronization tool that synchronizes Gherkin feature files with Azure DevOps (TFS/VSTS). Please find more information and detailed documentation at https://speclink.me/specsync.
71,dotnet-tools-outdated,0.8.0,1757847,McMaster.Extensions.CommandLineUtils,Checks whether any of installed .NET command-line tools is outdated.
72,Uno.Check,1.34.1,1698812,Spectre.Console.Cli,A dotnet tool for helping set up your Uno Platform environment
73,dafny-reportgenerator,1.2.0,1676022,Unknown/Custom,Package Description
74,Microsoft.Sbom.DotNetTool,4.1.5,1668253,Spectre.Console.Cli; CommandLineParser; PowerArgs,Highly scalable and enterprise ready .NET tool to create SBOMs for any variety of artifacts.
75,Amazon.Lambda.TestTool-8.0,0.17.0,1641926,Unknown/Custom,A tool to help debug and test your .NET 8.0 AWS Lambda functions locally.
76,dotnet-xdt,2.2.1,1528830,Unknown/Custom,XDT (XML Document Transform) tool for .NET Core.
77,FluentMigrator.DotNet.Cli,8.0.1,1476654,McMaster.Extensions.CommandLineUtils,.NET Core CLI tool for FluentMigrator
78,Octopus.OctoVersion.Tool,1.0.50,1370584,Unknown/Custom,Package Description
79,nukeeper,0.35.0,1367170,McMaster.Extensions.CommandLineUtils,Automagically update nuget packages in .NET projects
80,Microsoft.Web.LibraryManager.Cli,3.0.71,1365091,Unknown/Custom,Command line tool for Library Manager
81,Codecov.Tool,1.13.0,1353967,CommandLineParser,"Codecov global executable uploader for PowerShell and .NET applications/libraries. Supports Windows, Linux and OSX."
82,dotnet-aspnet-codegenerator,10.0.2,1335335,Unknown/Custom,Code Generation tool for ASP.NET Core. Contains the dotnet-aspnet-codegenerator command used for generating controllers and views.
83,Volo.Abp.Cli,10.1.1,1318131,Unknown/Custom,Package Description
84,MiniCover,3.9.0,1305185,System.CommandLine,Cross platform code coverage tool for .NET Core
85,Microsoft.VisualStudio.SlnGen.Tool,12.0.32,1280561,McMaster.Extensions.CommandLineUtils,Package that contains a tool for generating Visual Studio solution files.
86,dotnet-mgcb,3.8.4.1,1253840,Unknown/Custom,The MonoGame Content Builder (MGCB) command line tool is used for optimizing content for runtime use.
87,Roslynator.DotNet.Cli,0.12.0,1244284,System.CommandLine; CommandLineParser,Roslynator command-line tool for .NET Core
88,browserstack-sdk,1.30.0,1242499,Unknown/Custom,Package Description
89,security-scan,5.6.7,1235884,Mono.Options / NDesk.Options,Stand-alone .NET tool for https://security-code-scan.github.io
90,Amazon.Lambda.TestTool-2.1,0.11.3,1200695,Unknown/Custom,A tool to help debug and test your .NET Core 2.1 AWS Lambda functions locally.
91,Hopex.ApplicationServer.Tool,62.8.29.2,1189507,System.CommandLine,Package Description
92,JetBrains.dotTrace.GlobalTools,2025.3.4,1171618,Unknown/Custom,"The dotTrace console tool lets you start a profiling session and get performance snapshots from the command line.
This can be helpful in various scenarios, like:
    * profiling an application on a remote server, 
    * automating the process of gathering performance snapshots, for example, as a part of your continuous integration builds,
    * speeding up profiling routines by creating profiling scripts. 
The tool supports profiling of .NET Framework, .NET Core, Mono, and Unity applications.
The tool is a JetBrains Redistributable Product. This means it is free and can be freely redistributed. Note that it does not require JetBrains dotTrace to be installed on your machine. At the same time, to analyze the collected snapshots, you will need the standalone version of JetBrains dotTrace or JetBrains Rider."
93,Microsoft.PowerApps.CLI.Tool,2.4.1,1162973,Unknown/Custom,"Microsoft PowerPlatform CLI is a simple, single-stop, developer command-line interface (CLI) for developing customizations and extensions for Microsoft PowerPlatform. See project site how to install"
94,dotnet-test-rerun,4.1.0,1076444,System.CommandLine,wrapper of dotnet test command that automatic rerun failed tests
95,GitReleaseManager.Tool,0.20.0,1066190,CommandLineParser,Tool for creating and exporting releases for software applications from online Version Control Systems
96,Fable,4.29.0,1063001,Unknown/Custom,F# to JS compiler
97,fantomas-tool,4.7.9,1062621,Argu,"This library aims at formatting F# source files based on a given configuration.
Fantomas will ensure correct indentation and consistent spacing between elements in the source files.
Some common use cases include:
(1) Reformatting a code base to conform a universal page width
(2) Converting legacy code from verbose syntax to light syntax
(3) Formatting auto-generated F# signatures."
98,Verify.Tool,0.7.0,1052444,Spectre.Console.Cli,A dotnet tool for managing Verify snapshots.
99,nuget-license,4.0.9,1003746,McMaster.Extensions.CommandLineUtils,"A .net tool to print and validate the licenses of .net code. This tool supports .NET (Core), .NET Standard and .NET Framework projects."
100,upgrade-assistant,1.0.518,998265,System.CommandLine; Spectre.Console.Cli,A tool to assist developers in upgrading .NET Framework and .NET applications to latest versions of .NET.
101,HotChocolate.Fusion.CommandLine,15.1.12,988856,System.CommandLine,Package Description
102,Boogie,3.5.6,982842,Unknown/Custom,An SMT-based program verifier.
103,Libplanet.Tools,5.5.3,921891,Cocona,This CLI app is a collection of utilities for application  programmers who create decentralized games powered by Libplanet  (https://libplanet.io/).
104,devprime.cli,10.0.1,921039,Unknown/Custom,DevPrime CLI
105,HttpGenerator,1.0.0,907154,Spectre.Console.Cli,HttpGenerator is a CLI tool for generating .http files from OpenAPI specifications for the popular REST Client IDE extension.
106,gpr,0.1.294,906007,McMaster.Extensions.CommandLineUtils,A .NET Core tool for working the GitHub Package Registry.
107,CurlGenerator,0.3.7,891077,Spectre.Console.Cli,cURL Request Generator is a CLI tool for generating cURL requests from OpenAPI specifications
108,Microsoft.dotnet-msidentity,2.0.8,877537,System.CommandLine,"This package is a dotnet global tool which registers new Azure AD or Azure AD B2C applications, and updates your code accordingly, or modifies/edits existing
      Azure AD or Azure AD B2C app registrations and updates the project. This tool automates the steps of going to the portal UI for app registration and also updates
      the corresponding code for that application. With this tool, you can develop and register an ASP.NET Core web app, web API, gRPC service or Azure Function 
      protected with the Microsoft identity platform, which can call Microsoft Graph or downstream web APIs.
      For details see https://aka.ms/dotnet-msidentity. Works with ASP.NET Core 3.1 and .NET 5.0, 6.0 projects."
109,Obfuscar.GlobalTool,2.2.50,869859,System.CommandLine,"Obfuscar is a basic obfuscator for .NET assemblies. It uses massive overloading to rename metadata in .NET assemblies (including the names of methods, properties, events, fields, types and namespaces) to a minimal set, distinguishable in most cases only by signature."
110,checkbinarycompat,1.0.45,851437,Unknown/Custom,A tool to check binary compatibility of a set of assemblies and possibly baseline exclusions.
111,dotnet-typegen,7.0.0,844034,System.CommandLine,TypeGen .NET CLI tool (TypeGen is a single-class-per-file C# to TypeScript generator)
112,FunFair.BuildCheck,474.2.3.1996,814213,Unknown/Custom,Dot net core build checking tool.
113,git-credential-manager,2.7.0,805881,System.CommandLine,"Secure, cross-platform Git credential storage with authentication to Azure Repos, GitHub, and other popular Git hosting services."
114,app,8.0.1,804004,Unknown/Custom,Easily view and deploy any ServiceStack .NET Core Web App in a self-contained Chrome CEF Browser (Win64)
115,dotnet-delice,2.1.0,798031,McMaster.Extensions.CommandLineUtils,Delice is a dotnet tool that will list out the license information of the packages that your project depends on to help you get a better idea of what licenses are in use by your project.
116,csharp-ls,0.22.0,797619,System.CommandLine; Argu,C# LSP language server
117,Chr.Avro.Cli,10.12.0,793170,CommandLineParser,A tool for working with Avro from the command line
118,Credfeto.Package.Update,1.10.216.1886,774457,CommandLineParser,Scriptable update package tool
119,Credfeto.DotNet.Repo.Tools.Cmd,1.4.6.2854,751153,Unknown/Custom,Dotnet Repository Update tools
120,Amazon.ElasticBeanstalk.Tools,5.0.1,745625,Unknown/Custom,"Amazon.ElasticBeanstalk.Tools adds commands to the dotnet cli to deploy ASP.NET Core applications to AWS Elastic Beanstalk. For example to deploy an ASP.NET Core application from the command execute ""dotnet eb deploy-environment"" on the command line."
121,dotnet-consolidate,4.2.0,736372,CommandLineParser,.NET core tool that verifies that all NuGet packages in a solution are consolidated
122,coveralls.net,4.0.1,728746,DocoptNet,"Coveralls.io uploader for .NET Code Coverage. Supports opencover and visual studio's codecoverage.exe on windows, and monocov for mono"
123,Apache.Avro.Tools,1.12.1,717138,Unknown/Custom,"Avro provides:

      Rich data structures.
      A compact, fast, binary data format.
      A container file, to store persistent data.
      Remote procedure call (RPC).
      Simple integration with dynamic languages. Code generation is not required to read or write data files nor to use or implement RPC protocols. Code generation as an optional optimization, only worth implementing for statically typed languages."
124,Azure.Mcp,1.0.4,706402,Unknown/Custom,Azure MCP Server - Model Context Protocol implementation for Azure
125,Rnwood.Smtp4dev,3.15.0,696127,Unknown/Custom,Package Description
126,SmartCode.CLI,3.0.1,680397,McMaster.Extensions.CommandLineUtils,SmartCode = IDataSource -> IBuildTask -> IOutput => Build Everything!!!
127,Sarif.Multitool,4.6.0,674566,CommandLineParser,Multi-purpose command line tool for analyzing and manipulating SARIF files
128,vpk,0.0.1298,674250,System.CommandLine,Installer and automatic update framework for cross-platform desktop applications
129,dotnet-setversion,4.0.0,669033,CommandLineParser,A CLI tool to set/update the Version property in csproj files
130,dotnet-xscgen,3.0.1240,664913,Mono.Options / NDesk.Options,A .NET Core CLI tool to generate XmlSerializer compatible C# classes from XML Schema files.
131,smite-cli,2.2.2,643737,Spectre.Console.Cli; Argu,Package Description
132,Credfeto.Package.Push,1.6.176.1426,629979,Cocona,Multi-push tool for pushing multiple packages to nuget server at the same time.
133,dotnet-monitor,10.0.1,623218,System.CommandLine,.NET Core Diagnostic Monitoring Tool
134,dotnet-version-cli,3.0.3,620618,Microsoft.Extensions.CommandLineUtils,A dotnet core global tool for changing your csproj version and automatically comitting and tagging - npm version style.
135,MessagePack.Generator,2.5.198,618670,ConsoleAppFramework,MessagePack standalone code generator.
136,SourceLink,3.1.1,596116,Microsoft.Extensions.CommandLineUtils,A tool to test that the source link enabled nupkg or pdb file work. It tests all source files listed in the pdb. You can also print diagnostic information for a pdb.
137,dotnet-roundhouse,1.3.1,583962,Unknown/Custom,RoundhousE is a Professional Database Change and Versioning Management tool. Type rh /? for options
138,KubernetesCRDModelGen.Tool,1.2.9,576601,Unknown/Custom,Converts Custom Resource Definition Yaml files to Models
139,dotnet-mgcb-editor,3.8.4.1,575900,Unknown/Custom,The MonoGame Framework Content Builder Editor (MGCB-Editor) is a graphical tool used for editing your content projects ready for processing.
140,dotnet-fsharplint,0.26.10,575015,Argu,Console application to run FSharpLint.
141,TyrannosaurusTrx,1.3.0,571093,Argu,TyrannosaurusTrx is a dotnet tool fork of the TRX_Merger tool. It allows you to combine multiple TRX files in a single TRX file containing all the information from the TRX files passed to it and also to generate an html report from the TRX.
142,dotnet-mgcb-editor-windows,3.8.4.1,561712,Unknown/Custom,The MonoGame Framework Content Builder Editor (MGCB-Editor) is a graphical tool used for editing your content projects ready for processing.
143,FSharp.Formatting.CommandTool,11.5.1,557706,CommandLineParser,"The package is a collection of libraries that can be used for literate programming
      with F# (great for building documentation) and for generating library documentation
      from inline code comments. The key components are Markdown parser, tools for formatting
      F# code snippets, including tool tip type information and a tool for generating
      documentation from library metadata."
144,dotnet-mgcb-editor-linux,3.8.4.1,555959,Unknown/Custom,The MonoGame Framework Content Builder Editor (MGCB-Editor) is a graphical tool used for editing your content projects ready for processing.
145,Badgie.Migrator,1.6.0,554465,Unknown/Custom,A SQL migration tool originally built for Badgie. Use it to express database changes in a series of sql files which are executed only once.
146,dotnet-suggest,2.0.5,539460,System.CommandLine,Package Description
147,altcover.global,9.0.102,531270,Mono.Options / NDesk.Options,A cross-platform pre-instrumenting code coverage tool set for .net/.net core and Mono
148,grate,2.0.5,524355,Unknown/Custom,"grate - sql for the 20s
    
grate is a no-code, low-fi database migration tool, inspired heavily by RoundhousE. It's written from the ground
up using modern .NET 8/9/10."
149,Versionize,2.5.0,518183,McMaster.Extensions.CommandLineUtils,"Automatic versioning and CHANGELOG generation, using conventional commit messages."
150,ErikEJ.EFCorePowerTools.Cli,10.1.1168,506904,CommandLineParser,Entity Framework Core Power Tools command line tool
151,Liquibase.Cli,5.0.1,506550,Unknown/Custom,"LiquiBase is an open source, database-independent library for tracking, managing and applying database changes. It is built on a simple premise: All database changes are stored in a human readable yet trackable form and checked into source control."
152,dotnet-mgcb-editor-mac,3.8.4.1,501696,Unknown/Custom,The MonoGame Framework Content Builder Editor (MGCB-Editor) is a graphical tool used for editing your content projects ready for processing.
153,JustEatTakeaway.Watchman,2.0.0,501402,CommandLineParser,Package Description
154,OctoVersion.Tool,0.3.59,476705,Unknown/Custom,Package Description
155,ilspycmd,9.1.0.7988,472917,McMaster.Extensions.CommandLineUtils,Command-line decompiler using the ILSpy decompilation engine
156,NuGettier,0.4.17,465576,System.CommandLine,A nuget helper tool for dotnet with integrated support for Unity package creation.
157,Microsoft.DotNet.Mage,10.0.0,464858,Unknown/Custom,Package Description
158,dotnet-user-secrets,2.2.0,457500,Unknown/Custom,"Command line tool to manage user secrets for Microsoft.Extensions.Configuration.

This package was built from the source code at https://github.com/aspnet/DotNetTools/tree/d745b8c161d42665ceb51597888062336fec7764"
159,DotnetCtrfJsonReporter,0.0.7,457316,CommandLineParser,Package Description
160,XamlStyler.Console,3.2501.8,452111,CommandLineParser,"The power of XAML Styler wrapped up in a small executable that can be integrated into build scripts, git commit templates, and more. This package is built on top of the same styling engine that powers the Visual Studio plugin, and can be configured by specifying an external configuration."
161,CocoR,2014.12.25,445473,Unknown/Custom,The compiler generator Coco/R
162,MasterMemory.Generator,2.4.4,444249,ConsoleAppFramework,Code Generator of MasterMemory.
163,Snitch,2.0.0,443447,Spectre.Console.Cli,A tool that help you find transitive package references.
164,Mapster.Tool,10.0.6,434885,CommandLineParser,Tool to generate object mapping using Mapster
165,VirtoCommerce.GlobalTool,3.821.0,424154,Unknown/Custom,Cross-platform build automation system for VirtoCommerce projects
166,Furion.Tools,4.9.8.29,409792,Unknown/Custom,Furion 工具链
167,OctoNotes.Tool,0.1.171,409637,Unknown/Custom,"OctoNotes is a tool for generating release notes from Git repositories.

In a perfect, trunk-based world, there would be a single, linear graph between versions of an application. In the real world, however, that's almost never the case. Many releases will have hotfixes; many applications will have LTS branches or maintenance releases; not to mention pull requests and other reasons for branches, both short-lived and long.

OctoNotes takes a slightly different view of release notes. OctoNotes views the Git revision graph as the single source of truth. If a bug was fixed in a commit, that bug is only fixed in revisions containing that commit. If a feature was added between versions X and Y, it will appear in the Git revision graph as a commit somwehere between those two points.

By leveraging Git tags, OctoNotes can pinpoint precisely where in a Git revision graph a change was introduced, and provide the release notes for just the commits between two points on that graph."
168,Incrementalist.Cmd,1.2.0,405608,System.CommandLine; CommandLineParser,.NET Core global tool for determining how to run incremental builds based on the current Git diff.
169,Web.Ping,1.0.0,399612,McMaster.Extensions.CommandLineUtils,Determine whether a remote web server is accessible over the network.
170,Omnia,10.0.4,393622,CommandLineParser,Package Description
171,dotnet-ildasm,0.12.2,386894,Microsoft.Extensions.CommandLineUtils,Light-weight cross platform IL disassembler tool built in C#.
172,dotnet-linux-cert,0.0.11,382681,System.CommandLine,Dotnet linux cert helper: Install and list PKCS#12 certificates for *nix system
173,dotnet-coverageconverter,0.0.6,382081,CommandLineParser,Convert .coverage (binary format) files to .coveragexml (xml format) files to support SonarCloud Code Coverage when using VSTest@2.
174,NUnit.ConsoleRunner.NetCore,3.22.0,379216,Unknown/Custom,"This package includes the .NET Core build of the NUnit console runner and test engine.

      Any extensions, if needed, may be installed as separate packages."
175,apkdiff,0.0.17,371093,Mono.Options / NDesk.Options,A tool to compare Android packages
176,Hypar.CLI,1.14.0,370420,System.CommandLine,The command line interface for Hypar.
177,NuGetKeyVaultSignTool,3.2.3,367954,Microsoft.Extensions.CommandLineUtils,Enables NuGet package signing using certificates in Azure Key Vault
178,Dafny,4.11.0,366225,System.CommandLine,Package Description
179,Apim.DevOps.Toolkit,2.0.4,361489,CommandLineParser,dotnet-apim is a cross-platform dotnet tool which streamlines the CI/CD process of deploying APIs into Azure API Management.
180,FreeSql.Generator,3.5.307,357919,Unknown/Custom,使用 FreeSql 快速生成数据库的实体类，安装：dotnet tool install -g FreeSql.Generator
181,Locale.CLI,0.0.11,354484,Spectre.Console.Cli,"Locale.CLI is a powerful cross-platform command-line tool for managing localization files. Features include: scan (detect missing/orphan keys), diff (compare files), check (validate rules), convert (transform formats), generate (create skeleton files), watch (monitor changes), and translate (auto-translate using Google, DeepL, Bing, Yandex, LibreTranslate, OpenAI, Claude, Gemini, Azure OpenAI, or Ollama)."
182,devrating.consoleapp,23.4.1,353526,System.CommandLine,Dev Rating is a command-line tool that suggests the minimal Pull Request size
183,dotnet-sql-cache,10.0.5,349756,Unknown/Custom,"Command line tool to create tables and indexes in a Microsoft SQL Server database for distributed caching.

This package was built from the source code at https://github.com/dotnet/dotnet/tree/a612c2a1056fe3265387ae3ff7c94eba1505caf9"
184,dotnet-appsettings,1.0.1,344200,Unknown/Custom,Dotnet tool AppSettings convert appsettings.json to Azure AppService Configuration Application Settings
185,CCPDF,0.4.3,343666,System.CommandLine,"CMPDF-based commands,in order to compress the pdf file"
